PRODUCTID	PRODUCTNDC	PRODUCTTYPENAME	PROPRIETARYNAME	PROPRIETARYNAMESUFFIX	NONPROPRIETARYNAME	DOSAGEFORMNAME	ROUTENAME	STARTMARKETINGDATE	ENDMARKETINGDATE	MARKETINGCATEGORYNAME	APPLICATIONNUMBER	LABELERNAME	SUBSTANCENAME	ACTIVE_NUMERATOR_STRENGTH	ACTIVE_INGRED_UNIT	PHARM_CLASSES	DEASCHEDULE	NDC_EXCLUDE_FLAG	LISTING_RECORD_CERTIFIED_THROUGH
0002-8715_d5ae821a-6f55-42d3-85f2-3166a4970809	0002-8715	HUMAN OTC DRUG	Humulin	70/30 	Insulin human	INJECTION, SUSPENSION	SUBCUTANEOUS	19890626		NDA	NDA019717	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL			N	20191231
0002-8797_c6e8c01e-451b-42ed-9f25-7e7d227d2795	0002-8797	HUMAN PRESCRIPTION DRUG	Humalog	Mix75/25 KwikPen 	Insulin lispro	INJECTION, SUSPENSION	SUBCUTANEOUS	20070906		NDA	NDA021017	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-8798_7244a003-760b-4b26-a9dc-06ac6fc42d47	0002-8798	HUMAN PRESCRIPTION DRUG	Humalog	Mix50/50 KwikPen 	Insulin lispro	INJECTION, SUSPENSION	SUBCUTANEOUS	20070906		NDA	NDA021018	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-8799_cb562e9d-b2ab-4440-8783-bee0a9718150	0002-8799	HUMAN PRESCRIPTION DRUG	Humalog	KwikPen 	Insulin lispro	INJECTION, SOLUTION	INTRAVENOUS; SUBCUTANEOUS	20070906		NDA	NDA020563	Eli Lilly and Company	INSULIN LISPRO	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		N	20191231
0002-8803_d5ae821a-6f55-42d3-85f2-3166a4970809	0002-8803	HUMAN OTC DRUG	Humulin	 70/30 KwikPen	Insulin human	INJECTION, SUSPENSION	SUBCUTANEOUS	20131107		NDA	NDA019717	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL			N	20191231
0002-8805_4bb5d1cb-0fa7-48c7-9f6d-8d45f9b91649	0002-8805	HUMAN OTC DRUG	Humulin	N 	Insulin human	INJECTION, SUSPENSION	SUBCUTANEOUS	20131107		NDA	NDA018781	Eli Lilly and Company	INSULIN HUMAN	100	[iU]/mL			N	20191231
0002-8824_01dcc798-7fba-4eb7-af12-001ab92dee6e	0002-8824	HUMAN PRESCRIPTION DRUG	Humulin	R U-500 KwikPen 	Insulin human	INJECTION, SOLUTION	SUBCUTANEOUS	20151229		NDA	NDA018780	Eli Lilly and Company	INSULIN HUMAN	500	[iU]/mL	Insulin [EPC],Insulin [CS]		N	20191231
0002-8926_3186948d-039a-4bff-8cca-42bd09c773b9	0002-8926	HUMAN PRESCRIPTION DRUG	LARTRUVO		olaratumab	INJECTION, SOLUTION	INTRAVENOUS	20161019		BLA	BLA761038	Eli Lilly and Company	OLARATUMAB	10	mg/mL			N	20191231
0003-0011_f3570b16-4bbe-48f0-9892-d9a7b59c2ed2	0003-0011	HUMAN PRESCRIPTION DRUG	DAKLINZA		daclatasvir	TABLET	ORAL	20160518		NDA	NDA206843	E.R. Squibb & Sons, L.L.C.	DACLATASVIR DIHYDROCHLORIDE	90	mg/1	Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]		N	20191231
0003-0213_f3570b16-4bbe-48f0-9892-d9a7b59c2ed2	0003-0213	HUMAN PRESCRIPTION DRUG	DAKLINZA		daclatasvir	TABLET	ORAL	20150727		NDA	NDA206843	E.R. Squibb & Sons, L.L.C.	DACLATASVIR DIHYDROCHLORIDE	30	mg/1	Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]		N	20191231
0003-0215_f3570b16-4bbe-48f0-9892-d9a7b59c2ed2	0003-0215	HUMAN PRESCRIPTION DRUG	DAKLINZA		daclatasvir	TABLET	ORAL	20150727		NDA	NDA206843	E.R. Squibb & Sons, L.L.C.	DACLATASVIR DIHYDROCHLORIDE	60	mg/1	Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]		N	20191231
0003-0249_7d355981-e4d6-4d06-a2b3-eb83edce221b	0003-0249	HUMAN PRESCRIPTION DRUG	HALOG		Halcinonide	SOLUTION	TOPICAL	20090101		NDA	NDA017823	E.R. Squibb & Sons, L.L.C.	HALCINONIDE	1	mg/mL	Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]		N	
0003-0293_0348e127-4e8a-4512-9489-876955f35e6c	0003-0293	HUMAN PRESCRIPTION DRUG	KENALOG-40		TRIAMCINOLONE ACETONIDE	INJECTION, SUSPENSION	INTRA-ARTICULAR; INTRAMUSCULAR	20090601		NDA	NDA014901	E.R. Squibb & Sons, L.L.C.	TRIAMCINOLONE ACETONIDE	40	mg/mL	Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]		N	20191231
0003-0371_3a921134-ab2b-4e80-8c4f-0a7a60bbf404	0003-0371	HUMAN PRESCRIPTION DRUG	NULOJIX		BELATACEPT	INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	INTRAVENOUS	20110615		BLA	BLA125288	E.R. Squibb & Sons, L.L.C.	BELATACEPT	250	mg/1	Selective T Cell Costimulation Blocker [EPC],CD80-directed Antibody Interactions [MoA],CD86-directed Antibody Interactions [MoA],T Lymphocyte Costimulation Activity Blockade [PE]		N	20191231
0003-0494_b9871f95-7f8c-4bad-b21a-c2595cab0dc3	0003-0494	HUMAN PRESCRIPTION DRUG	KENALOG-10		TRIAMCINOLONE ACETONIDE	INJECTION, SUSPENSION	INTRA-ARTICULAR; INTRALESIONAL	20090601		NDA	NDA012041	E.R. Squibb & Sons, L.L.C.	TRIAMCINOLONE ACETONIDE	10	mg/mL	Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]		N	20191231
0003-0524_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0524	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20060627		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	70	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0527_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0527	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20060627		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	20	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0528_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0528	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20060627		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	50	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0830_1fbe7104-4379-41be-bdc6-bf79d108a77b	0003-0830	HUMAN PRESCRIPTION DRUG	HYDREA		HYDROXYUREA	CAPSULE	ORAL	20090601		NDA	NDA016295	E.R. Squibb & Sons, L.L.C.	HYDROXYUREA	500	mg/1	Antimetabolite [EPC],Urea [CS]		N	20191231
0003-0852_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0852	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20080530		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	100	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0855_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0855	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20101028		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	80	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0857_9bc9427b-2cca-466c-b41e-d47ce4540aa6	0003-0857	HUMAN PRESCRIPTION DRUG	SPRYCEL		dasatinib	TABLET	ORAL	20101028		NDA	NDA021986	E.R. Squibb & Sons, L.L.C.	DASATINIB	140	mg/1	Kinase Inhibitor [EPC],Protein Kinase Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA]		N	20201231
0003-0893_391cf576-1ae6-4a11-bf14-8e5a135cd5dd	0003-0893	HUMAN PRESCRIPTION DRUG	ELIQUIS		apixaban	TABLET, FILM COATED	ORAL	20121228		NDA	NDA202155	E.R. Squibb & Sons, L.L.C.	APIXABAN	2.5	mg/1	Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]		N	20201231
0003-0894_391cf576-1ae6-4a11-bf14-8e5a135cd5dd	0003-0894	HUMAN PRESCRIPTION DRUG	ELIQUIS		apixaban	TABLET, FILM COATED	ORAL	20121228		NDA	NDA202155	E.R. Squibb & Sons, L.L.C.	APIXABAN	5	mg/1	Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]		N	20201231
