GenAge_ID,symbol,aliases,name,entrez_gene_id,uniprot,why,band,location_start,location_end,orientation,acc_promoter,acc_orf,acc_cds,references,orthologs
50,FOS,c-fos AP-1,FBJ murine osteosarcoma viral oncogene homolog,2353,FOS_HUMAN,putative,14q24.3,75278778,75282234,1,HS_FOS,NM_005252,NP_005243,"151,173,076,848,311,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Fos;Mus musculus,Fos;Rattus norvegicus,FOS (1 of many);Danio rerio,fosaa;Danio rerio,kay;Drosophila melanogaster"
51,PDGFRB,JTK12 CD140b PDGFR1 PDGFR,"platelet-derived growth factor receptor, beta polypeptide",5159,PGFRB_HUMAN,downstream,5q33.1,150113839,150155859,-1,,NM_002609,NP_002600,"1,266,888,811,385,620,000,000,000,000,000","PDGFRB;Danio rerio,Pdgfrb;Mus musculus,Pdgfrb;Rattus norvegicus,Pvr;Drosophila melanogaster"
52,EPOR,EPO-R,Erythropoietin receptor,2057,EPOR_HUMAN,downstream,19p13.2,11377204,11384341,-1,,NM_000121,NP_000112,"94,356,351,094,384,200,000,000,000,000,000,000,000","Epor;Mus musculus,Epor;Rattus norvegicus,epor;Danio rerio"
53,SST,SMST,somatostatin,6750,SMS_HUMAN,upstream,3q28,187668906,187670413,-1,HS_SST,NM_001048,NP_001039,"117,801,201,239,279,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Sst;Mus musculus,Sst;Rattus norvegicus,sst1.1;Danio rerio"
54,PRKCD,,"protein kinase C, delta",5580,KPCD_HUMAN,downstream,3p21.31,53161207,53192717,1,,NM_006254,NP_006245,"10,381,525,119,766,800,000,000,000,000,000","pck1;Schizosaccharomyces pombe,Prkcd;Mus musculus,Pkcdelta;Drosophila melanogaster,Prkcd;Rattus norvegicus,tpa-1;Caenorhabditis elegans,prkcda;Danio rerio,PKC1;Saccharomyces cerevisiae,prkcdb;Danio rerio"
55,PPARA,hPPAR NR1C1 PPAR,peroxisome proliferator-activated receptor alpha,5465,PPARA_HUMAN,putative,22q13.31,46150596,46243756,1,,NM_005036,NP_005027,"108,395,301,151,459,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ppara;Mus musculus,Ppara;Rattus norvegicus,sex-1;Caenorhabditis elegans,nhr-38;Caenorhabditis elegans,pparab;Danio rerio,pparaa;Danio rerio"
56,RET,PTC CDHF12 RET51 CDHR16 HSCR1 MEN2A MTC1 MEN2B,ret proto-oncogene,5979,RET_HUMAN,downstream,10q11.2,43077069,43130349,1,,NM_020975,NP_066124,"103,982,938,872,055,000,000,000,000,000","Ret;Mus musculus,Ret;Rattus norvegicus,ret;Danio rerio,Ret;Drosophila melanogaster"
57,PLCG2,,"phospholipase C, gamma 2 (phosphatidylinositol-specific)",5336,PLCG2_HUMAN,downstream,16q24.1,81779258,81962693,1,,NM_002661,NP_002652,"124,379,261,064,796,000,000,000,000,000,000,000,000,000,000","si:ch211-260p9.3;Danio rerio,Plcg2;Rattus norvegicus,sl;Drosophila melanogaster,plc-3;Caenorhabditis elegans,Plcg2;Mus musculus,plcg2;Danio rerio,PLC1;Saccharomyces cerevisiae"
58,PEX5,PTS1R PXR1,peroxisomal biogenesis factor 5,5830,PEX5_HUMAN,functional,12p13.31,7190362,7211483,1,,NM_000319,NP_000310,"124,759,497,719,337,000,000,000,000,000","LOC103690024;Rattus norvegicus,Pex5;Mus musculus,Pex5;Drosophila melanogaster,prx-5;Caenorhabditis elegans,Pex5;Rattus norvegicus,pex5;Danio rerio,PEX5;Saccharomyces cerevisiae"
59,TCF3,E2A ITF1 MGC129647 MGC129648 bHLHb21 VDIR E47,transcription factor 3,6929,TFE2_HUMAN,putative,19p13.3,1609290,1652329,-1,,NM_003200,NP_003191,"8,001,125,127,142,410,000,000,000,000,000,000,000,000,000,000,000,000,000","Tcf3;Mus musculus,tcf3a;Danio rerio,da;Drosophila melanogaster,Tcf3;Rattus norvegicus,hlh-2;Caenorhabditis elegans,tcf3b;Danio rerio"
60,PARP1,PARP PPOL ADPRT,poly (ADP-ribose) polymerase 1,142,PARP1_HUMAN,"functional,putative",1q41-q42,226360691,226408100,-1,HS_ADPRT,NM_001618,NP_001609,"1465394,10471503,14612404,12470832,11906946,11707919,11121685,11016956,9587069,10077636,12543974,12114629,2559326,14734561,15044383,12526788,15292449,12605957,15336909,15545322,17913748,15590998,15205477,16141234,15895395,16140981,16107709,16302026,16207712,16628003,20832105,21680843,19139632,20231360,3103132,9312059,22753495,18835851,15855340,9325154,24843141,26598704","Parp1;Mus musculus,Parp1;Rattus norvegicus,parp-1;Caenorhabditis elegans,parp1;Danio rerio,Parp;Drosophila melanogaster"
61,BRCA1,RNF53 BRCC1 PPP1R53 FANCS,"breast cancer 1, early onset",672,BRCA1_HUMAN,mammal,17q21,43044295,43125483,-1,,NM_007294,NP_009225,###############################################################################################################################################################################################################################################################,"Brca1;Mus musculus,Brca1;Rattus norvegicus"
62,PIN1,dod,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",5300,PIN1_HUMAN,upstream,19p13,9835207,9849689,1,HS_PIN1,NM_006221,NP_006212,"12,891,359,118,052,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","pin1;Schizosaccharomyces pombe,pin1;Danio rerio,Pin1;Mus musculus,dod;Drosophila melanogaster,pinn-1;Caenorhabditis elegans,Pin1rt1;Mus musculus,Pin1;Rattus norvegicus,CG32845;Drosophila melanogaster,ESS1;Saccharomyces cerevisiae"
63,PTEN,MMAC1 TEP1 PTEN1 BZS MHAM,phosphatase and tensin homolog,5728,PTEN_HUMAN,model,10q23.3,87863438,87971930,1,,NM_000314,NP_000305,"1,020,909,893,531,770,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Pten;Mus musculus,Pten;Drosophila melanogaster,Pten;Rattus norvegicus,daf-18;Caenorhabditis elegans,ptenb;Danio rerio"
64,CREBBP,RTS CBP KAT3A RSTS,CREB binding protein,1387,CBP_HUMAN,upstream,16p13.3,3725055,3880120,-1,,NM_004380,NP_004371,"1,252,434,111,931,760,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Crebbp;Mus musculus,nej;Drosophila melanogaster,Crebbp;Rattus norvegicus,cbp-1;Caenorhabditis elegans,F40F12.7;Caenorhabditis elegans,cbp-2;Caenorhabditis elegans,crebbpa;Danio rerio,crebbpb;Danio rerio,BDF1;Saccharomyces cerevisiae,BDF2;Saccharomyces cerevisiae"
65,HIF1A,MOP1 HIF-1alpha PASD8 HIF1 bHLHe78,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",3091,HIF1A_HUMAN,"functional,downstream",14q23.2,61695401,61748259,1,HS_HIF1A,NM_001530,NP_001521,"124,708,961,088,271,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Hif1a;Mus musculus,Hif1a;Rattus norvegicus,sima;Drosophila melanogaster,hif-1;Caenorhabditis elegans,hif1ab;Danio rerio,hif1aa;Danio rerio"
66,UBB,MGC8385 FLJ25987,ubiquitin B,7314,UBIQ_HUMAN,putative,17p12-p11.,16380797,16382745,1,HS_UBB,NM_018955,NP_061828,"1,112,443,612,016,290,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","ubq-1;Caenorhabditis elegans,UBI4;Saccharomyces cerevisiae"
67,RPA1,REPA1 RPA70 HSSB RF-A RP-A,"replication protein A1, 70kDa",6117,RFA1_HUMAN,upstream,17p13.3,1829979,1899554,1,,NM_002945,NP_002936,"113,486,591,037,343,000,000,000,000,000,000,000,000","ssb1;Schizosaccharomyces pombe,RpA-70;Drosophila melanogaster,Rpa1;Mus musculus,rpa-1;Caenorhabditis elegans,Rpa1;Rattus norvegicus,rpa1;Danio rerio,RFA1;Saccharomyces cerevisiae"
68,BLM,BS RECQL3 RECQ2,"Bloom syndrome, RecQ helicase-like",641,BLM_HUMAN,functional,15q26.1,90717326,90815462,1,,NM_000057,NP_000048,"121,813,139,808,625,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rqh1;Schizosaccharomyces pombe,Blm;Mus musculus,Blm;Drosophila melanogaster,him-6;Caenorhabditis elegans,Blm;Rattus norvegicus,blm;Danio rerio,SGS1;Saccharomyces cerevisiae"
69,BCL2,Bcl-2 PPP1R50,B-cell CLL/lymphoma 2,596,BCL2_HUMAN,functional,18q21.3,63123346,63319380,-1,HS_BCL2_2,NM_000633,NP_000624,"9989825,12462383,9315450,8090743,8170972,8692941,11226431,9102310,8358790,9228005,12161751,9288026,15013668,15295107,12218115,8235659,15489059,15618488,15897889,16139996,16198025,16367931,16567372,7946326,16288037,17973971,10656180,22343142,16026332,15911345,7472523","Bcl2;Mus musculus,Bcl2;Rattus norvegicus,bcl2a;Danio rerio,bcl2b;Danio rerio"
70,S100B,S100beta,S100 calcium binding protein B,6285,S100B_HUMAN,"upstream,putative",21q22.3,46598618,46605122,-1,HS_S100B,NM_006272,NP_006263,"1,296,076,611,578,770,000,000,000,000,000,000,000,000,000,000,000,000,000","S100b;Mus musculus,S100b;Rattus norvegicus,s100b;Danio rerio"
71,VCP,IBMPFD p97,valosin containing protein,7415,TERA_HUMAN,downstream,9p13.3,35056068,35072742,-1,HS_VCP_2,NM_007126,NP_009057,"129,372,741,174,056,000,000,000","cdc48;Schizosaccharomyces pombe,TER94;Drosophila melanogaster,Vcp;Rattus norvegicus,cdc-48.2;Caenorhabditis elegans,cdc-48.1;Caenorhabditis elegans,Vcp;Mus musculus,vcp;Danio rerio,CDC48;Saccharomyces cerevisiae"
72,POLG,POLG1 POLGA,"polymerase (DNA directed), gamma",5428,DPOG1_HUMAN,mammal,15q25,89316305,89334795,-1,,NM_002693,NP_002684,"3,619,920,114,316,860,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Polg;Mus musculus,tam;Drosophila melanogaster,Polg;Rattus norvegicus,polg-1;Caenorhabditis elegans,MIP1;Saccharomyces cerevisiae,polg;Danio rerio"
73,IGFBP3,IBP3 BP-53,insulin-like growth factor binding protein 3,3486,IBP3_HUMAN,upstream,7p13-p12,45912245,45921272,-1,HS_IGFBP3,NM_000598,NP_000589,"129,336,511,087,526,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Igfbp3;Mus musculus,Igfbp3;Rattus norvegicus,igfbp3;Danio rerio"
74,HSP90AA1,Hsp89 Hsp90 FLJ31884 HSP90N HSPC1 HSPCA,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,HS90A_HUMAN,functional,14q32.33,102080738,102087175,-1,HS_HSPCA,NM_005348,NP_005339,"1,247,089,892,282,800,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Hsp90aa1;Mus musculus,hsp90aa1.1;Danio rerio,Hsp83;Drosophila melanogaster,daf-21;Caenorhabditis elegans,LOC103692716;Rattus norvegicus,hsp90aa1.2;Danio rerio,HSC82;Saccharomyces cerevisiae,HSP82;Saccharomyces cerevisiae,Hsp90aa1;Rattus norvegicus"
75,NR3C1,GR GRL,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",2908,GCR_HUMAN,downstream,5q31.3,143277930,143403689,-1,,NM_000176,NP_000167,"960,492,910,678,832,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Nr3c1;Rattus norvegicus,Nr3c1;Mus musculus,nr3c1;Danio rerio"
76,EGR1,TIS8 G0S30 NGFI-A KROX-24 ZIF-268 AT225 ZNF225,early growth response 1,1958,EGR1_HUMAN,upstream,5q31.1,138465492,138469315,1,,NM_001964,NP_001955,"3,127,059,110,350,410,000,000,000,000,000,000,000","prz1;Schizosaccharomyces pombe,Egr1;Mus musculus,Egr1;Rattus norvegicus,egr1;Danio rerio,sr;Drosophila melanogaster,egrh-1;Caenorhabditis elegans,egrh-2;Caenorhabditis elegans,MIG2;Saccharomyces cerevisiae,MIG1;Saccharomyces cerevisiae,MIG3;Saccharomyces cerevisiae"
77,VEGFA,VEGF-A VPF VEGF,vascular endothelial growth factor A,7422,VEGFA_HUMAN,putative,6p12,43770209,43786486,1,,NM_003376,NP_003367,"1,255,469,710,882,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Vegfa;Mus musculus,vegfaa;Danio rerio,Vegfa;Rattus norvegicus,vegfab;Danio rerio"
78,ABL1,JTK7 c-ABL p150 ABL,"ABL proto-oncogene 1, non-receptor tyrosine kinase",25,ABL1_HUMAN,"functional,downstream",9q34.1,130713881,130887675,1,HS_ABL1_3,NM_007313,NP_009297,"108,058,052,065,353,000,000,000,000,000,000,000,000","Abl1;Mus musculus,Abl;Drosophila melanogaster,abl-1;Caenorhabditis elegans,Abl1;Rattus norvegicus,abl1;Danio rerio,Abl1;Rattus norvegicus,Abl1;Rattus norvegicus"
79,BRCA2,FAD FAD1 BRCC2 XRCC11 FANCD1 FACD FANCD,"breast cancer 2, early onset",675,BRCA2_HUMAN,functional,13q12.3,32315480,32399672,1,,NM_000059,NP_000050,"93,531,771,261,915,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Brca2;Mus musculus,Brca2;Rattus norvegicus,brca2;Danio rerio"
80,TOP2A,TOP2,topoisomerase (DNA) II alpha,7153,TOP2A_HUMAN,functional,17q21-q22,40388521,40417950,-1,,NM_001067,NP_001058,"10,725,663,800,823,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Top2a;Rattus norvegicus,Top2a;Mus musculus,Top2;Drosophila melanogaster,top-2;Caenorhabditis elegans,cin-4;Caenorhabditis elegans,top2a;Danio rerio,TOP2;Saccharomyces cerevisiae"
81,TOP2B,,topoisomerase (DNA) II beta,7155,TOP2B_HUMAN,functional,3p24,25597905,25664372,-1,,NM_001068,NP_001059,"10,725,663,800,823,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000","top2;Schizosaccharomyces pombe,Top2b;Mus musculus,Top2;Drosophila melanogaster,top-2;Caenorhabditis elegans,cin-4;Caenorhabditis elegans,top2b;Danio rerio,TOP2;Saccharomyces cerevisiae"
82,NFKB1,KBF1 p105 NFKB-p50 p50 NF-kappaB NFkappaB NF-kB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4790,NFKB1_HUMAN,functional,4q24,102501329,102617302,1,,NM_003998,NP_003989,"9989825,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,11931769,12470896,7834752,14561702,10894547,12150997,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,18362329,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332,24960204,25553648","Nfkb1;Mus musculus,Rel;Drosophila melanogaster,Nfkb1;Rattus norvegicus,nfkb1;Danio rerio"
83,TOP1,,topoisomerase (DNA) I,7150,TOP1_HUMAN,functional,20q12-q13.,41028822,41124486,1,,NM_003286,NP_003277,"11,087,895,113,486,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","top1mt;Danio rerio,Top1;Mus musculus,Top1;Drosophila melanogaster,Top1;Rattus norvegicus,top-1;Caenorhabditis elegans,Top1;Rattus norvegicus,TOP1;Saccharomyces cerevisiae"
84,RAD51,HsRad51 HsT16930 BRCC5 FANCR RAD51A RECA,RAD51 recombinase,5888,RAD51_HUMAN,"cell,functional",15q15.1,40695129,40732158,1,HS_RAD51,NM_002875,NP_002866,"12,750,285,102,071,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rhp51;Schizosaccharomyces pombe,Rad51;Mus musculus,spn-A;Drosophila melanogaster,rad51;Danio rerio,Rad51;Rattus norvegicus,RAD51;Saccharomyces cerevisiae"
85,UBE2I,UBC9,ubiquitin-conjugating enzyme E2I,7329,UBC9_HUMAN,upstream,16p13.3,1309627,1327018,1,,NM_194259,NP_919235,"1,222,665,710,806,190,000,000,000,000,000,000,000,000","hus5;Schizosaccharomyces pombe,LOC102553386;Rattus norvegicus,Ube2i;Mus musculus,Ube2i;Rattus norvegicus,lwr;Drosophila melanogaster,ube2ia;Danio rerio,UBC9;Saccharomyces cerevisiae,ubc-9;Caenorhabditis elegans"
86,TNF,TNFSF2 DIF TNF-alpha TNFA,tumor necrosis factor,7124,TNFA_HUMAN,putative,6p21.3,2917465,2920233,1,HS_TNF,NM_000594,NP_000585,###############################################################################################################################################################################################################################################################,"Tnf;Mus musculus,Tnf;Rattus norvegicus,tnfa;Danio rerio,tnfb;Danio rerio,LOC103694380;Rattus norvegicus"
87,PDPK1,PDK1,3-phosphoinositide dependent protein kinase 1,5170,PDPK1_HUMAN,downstream,16p13.3,2537964,2603190,1,,NM_002613,NP_002604,"9,716,402,121,105,850,000,000,000,000,000","Pdpk1;Mus musculus,Pdk1;Drosophila melanogaster,Pdpk1;Rattus norvegicus,pdk-1;Caenorhabditis elegans,pdpk1b;Danio rerio,pdpk1a;Danio rerio,PKH3;Saccharomyces cerevisiae,PKH1;Saccharomyces cerevisiae,PKH2;Saccharomyces cerevisiae"
88,CEBPA,C/EBP-alpha CEBP,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,CEBPA_HUMAN,functional,19q13.1,33299934,33302564,-1,,NM_004364,NP_004355,"152,894,642,792,758,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Cebpa;Mus musculus,Cebpa;Rattus norvegicus,cebpa;Danio rerio,cebp-2;Caenorhabditis elegans"
89,CEBPB,LAP CRP2 NFIL6 IL6DBP C/EBP-beta TCF5,"CCAAT/enhancer binding protein (C/EBP), beta",1051,CEBPB_HUMAN,mammal,20q13.1,50190583,50192691,1,,NM_005194,NP_005185,"1,528,946,497,270,680,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Cebpb;Mus musculus,Cebpb;Rattus norvegicus,cebpb;Danio rerio,cebp-2;Caenorhabditis elegans"
90,MXI1,MXD2 MAD2 MXI bHLHc11,"MAX interactor 1, dimerization protein",4601,MXI1_HUMAN,putative,10q24-q25,110226004,110287365,1,,NM_005962,NP_005953,"962,400,677,732,878,000,000","Mxi1;Mus musculus,Mxi1;Rattus norvegicus,mxi1;Danio rerio,mdl-1;Caenorhabditis elegans"
91,TGFB1,CED TGFbeta TGFB DPD1,"transforming growth factor, beta 1",7040,TGFB1_HUMAN,putative,19q13.1,41330531,41353933,-1,,NM_000660,NP_000651,###############################################################################################################################################################################################################################################################,"Tgfb1;Mus musculus,daw;Drosophila melanogaster,Tgfb1;Rattus norvegicus,tgfb1a;Danio rerio,tgfb1b;Danio rerio"
92,ERCC6,CSB RAD26 ARMD5 CKN2,excision repair cross-complementation group 6,2074,ERCC6_HUMAN,functional,10q11.23,49454480,49539123,-1,,NM_000124,NP_000115,"766,433,591,179,831,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","rhp26;Schizosaccharomyces pombe,Ercc6;Rattus norvegicus,Ercc6;Mus musculus,ercc6;Danio rerio,RAD26;Saccharomyces cerevisiae"
93,STK11,PJS LKB1,serine/threonine kinase 11,6794,STK11_HUMAN,upstream,19p13.3,1205799,1228435,1,,NM_000455,NP_000446,"1,222,666,411,430,830,000,000,000,000,000,000,000,000","Stk11;Mus musculus,lkb1;Drosophila melanogaster,par-4;Caenorhabditis elegans,Stk11;Rattus norvegicus,stk11;Danio rerio,TOS3;Saccharomyces cerevisiae,SAK1;Saccharomyces cerevisiae"
94,EP300,p300 KAT3B,E1A binding protein p300,2033,EP300_HUMAN,upstream,22q13.2,41092610,41180077,1,,NM_001429,NP_001420,"12,384,703,112,682,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Ep300;Rattus norvegicus,nej;Drosophila melanogaster,cbp-1;Caenorhabditis elegans,F40F12.7;Caenorhabditis elegans,cbp-2;Caenorhabditis elegans,Ep300;Mus musculus,BDF1;Saccharomyces cerevisiae,BDF2;Saccharomyces cerevisiae"
95,APTX,FLJ20157 AOA AOA1 EAOH EOAHA AXA1,aprataxin,54840,APTX_HUMAN,functional,9p13.3,32972606,33001641,-1,,NM_175073,NP_778243,"115,862,991,158,630,000,000,000,000,000,000,000,000,000,000,000","hnt3;Schizosaccharomyces pombe,CG5316;Drosophila melanogaster,Aptx;Mus musculus,Aptx;Rattus norvegicus,aptx;Danio rerio,HNT3;Saccharomyces cerevisiae"
96,PML,MYL TRIM19 RNF71,promyelocytic leukemia,5371,PML_HUMAN,"cell,downstream",15q22,73994673,74047814,1,,NM_033238,NP_150241,"1,209,373,711,832,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Pml;Mus musculus,Pml;Rattus norvegicus"
97,GSK3B,,glycogen synthase kinase 3 beta,2932,GSK3B_HUMAN,downstream,3q13.3,119821955,120094417,-1,,NM_002093,NP_002084,"1,089,454,787,108,920,000,000,000,000,000,000,000,000,000,000,000,000,000","gsk3b;Danio rerio,sgg;Drosophila melanogaster,Gsk3b;Mus musculus,Gsk3b;Rattus norvegicus,gsk-3;Caenorhabditis elegans,GSK3B (1 of many);Danio rerio,MRK1;Saccharomyces cerevisiae,RIM11;Saccharomyces cerevisiae"
98,HTT,IT15 HD,huntingtin,3064,HD_HUMAN,mammal,4p16.3,3074510,3243960,1,,NM_002111,NP_002102,"77,740,207,618,107,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000","Htt;Mus musculus,Htt;Rattus norvegicus,htt;Danio rerio,htt;Drosophila melanogaster"
99,PRKCA,PKCA,"protein kinase C, alpha",5578,KPCA_HUMAN,downstream,17q22-q23.,66302808,66810744,1,,NM_002737,NP_002728,"12,554,697,903,275,200,000,000,000,000","Prkca;Mus musculus,Prkca;Rattus norvegicus,inaC;Drosophila melanogaster,Pkc53E;Drosophila melanogaster,pkc-2;Caenorhabditis elegans,prkca;Danio rerio,PKC1;Saccharomyces cerevisiae,PRKCA (1 of many);Danio rerio"
